"submitted_name_rl","scientificname","rl1998","rl2018","trend","L","T","C","M","R","N"
"Symphyotrichum novi-belgii agg.","Symphyotrichum novi-belgii agg.","nb","nb",NA,6,6,NA,6,7,8
"Symphytum officinale agg.","Symphytum officinale agg.","*","*","=",7,6,NA,7,7,8
"Thymus chamaedrys agg.","Thymus chamaedrys agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Trichophorum cespitosum agg.","Trichophorum cespitosum agg.","nb","3","<",NA,NA,NA,NA,NA,NA
"Trifolium dubium agg.","Trifolium dubium agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Tripleurospermum maritimum agg.","Tripleurospermum maritimum agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Utricularia intermedia agg.","Utricularia intermedia agg.","nb","2","<<",8,5,NA,12,4,2
"Utricularia minor agg.","Utricularia minor agg.","nb","3","<<",8,5,NA,12,5,2
"Utricularia vulgaris agg.","Utricularia vulgaris agg.","nb","V","<",8,6,NA,12,5,4
"Valeriana officinalis agg.","Valeriana officinalis agg.","nb","*","=",7,5,NA,6,7,6
"Veronica anagallis-aquatica agg.","Veronica anagallis-aquatica agg.","nb","*","=",7,6,NA,9,7,7
"Veronica austriaca agg.","Veronica austriaca agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Veronica chamaedrys agg.","Veronica chamaedrys agg.","nb","*","=",6,5,NA,5,7,6
"Veronica hederifolia agg.","Veronica hederifolia agg.","*","*","=",6,6,3,5,7,7
"Veronica verna agg.","Veronica verna agg.","nb","V","<",8,7,NA,2,4,2
"Vicia cracca agg.","Vicia cracca agg.","nb","*","=",7,5,NA,4,7,5
"Vicia sativa agg.","Vicia sativa agg.","*","*","=",7,6,NA,5,7,6
"Vicia tetrasperma agg.","Vicia tetrasperma agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Viola canina agg.","Viola canina agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Viola riviniana agg.","Viola riviniana agg.","nb","*","=",3,5,NA,5,7,6
"Viola tricolor agg.","Viola tricolor agg.","nb","*","=",7,6,NA,4,4,5
"Viscum album agg.","Viscum album agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Xanthium orientale agg.","Xanthium orientale agg.","nb","nb",NA,7,6,NA,6,7,7
"Abies alba Mill.","Abies alba Mill.","3","*","<",3,5,NA,6,5,6
"Abutilon theophrasti Medik.","Abutilon theophrasti Medik.","kN","nb",NA,8,8,NA,5,7,7
"Acer campestre L.","Acer campestre L.","*","*","=",5,6,4,5,7,6
"Acer monspessulanum L.","Acer monspessulanum L.","*","*","=",6,8,4,3,8,4
"Acer monspessulanum subsp. monspessulanum","Acer monspessulanum subsp. monspessulanum","*","*","=",NA,NA,NA,NA,NA,NA
"Acer negundo L.","Acer negundo L.","*","nb",NA,5,6,6,6,7,7
"Acer opalus Mill.","Acer opalus Mill.","R","R","=",NA,NA,NA,NA,NA,NA
"Acer platanoides L.","Acer platanoides L.","*","*","=",4,6,NA,5,7,6
"Acer pseudoplatanus L.","Acer pseudoplatanus L.","*","*","=",4,5,NA,6,6,7
"Achillea atrata L.","Achillea atrata L.","*","*","=",NA,NA,NA,NA,NA,NA
"Achillea clavenae L.","Achillea clavennae L.","*","*","=",8,2,5,5,8,3
"Achillea crithmifolia Waldst. & Kit.","Achillea crithmifolia Waldst. & Kit.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Achillea macrophylla L.","Achillea macrophylla L.","*","R","=",6,2,4,6,6,8
"Achillea collina (Wirtg.) Heimerl","Achillea collina (Wirtg.) Backer ex Heimerl","*","D","?",NA,NA,NA,NA,NA,NA
"Achillea millefolium L.","Achillea millefolium L.","*","*","=",7,5,NA,5,6,5
"Achillea millefolium subsp. millefolium","Achillea millefolium subsp. millefolium","*","*","=",7,5,NA,5,6,5
"Achillea millefolium subsp. sudetica (Opiz) Oborny","Achillea millefolium subsp. sudetica (Opiz) Oborny","*","D","?",7,4,NA,5,6,5
"Achillea pannonica Scheele","Achillea pannonica Scheele","*","V","=",8,7,NA,3,8,3
"Achillea pratensis Saukel & R. Länger","Achillea pratensis Saukel & R.Länger","kN","*","=",7,5,NA,5,5,6
"Achillea roseoalba Ehrend.","Achillea roseoalba Ehrend.","*","2","(<)",NA,NA,NA,NA,NA,NA
"Achillea setacea Waldst. & Kit.","Achillea setacea Waldst. & Kit.","3","3","<",9,7,NA,2,7,2
"Achillea nobilis L.","Achillea nobilis L.","*","V","<",8,7,7,4,8,1
"Achillea nobilis subsp. nobilis","Achillea nobilis subsp. nobilis","*","V","<",NA,NA,NA,NA,NA,NA
"Achillea ptarmica L.","Achillea ptarmica L.","V","*","<",8,6,3,8,4,2
"Achillea salicifolia Besser","Achillea salicifolia Besser","*","*","=",NA,NA,NA,NA,NA,NA
"Achnatherum calamagrostis (L.) P. Beauv.","Achnatherum calamagrostis (L.) P.Beauv.","*","*","=",9,6,4,3,8,2
"Acinos alpinus (L.) Moench","Acinos alpinus (L.) Moench","*","*","=",NA,NA,NA,NA,NA,NA
"Acinos alpinus subsp. alpinus","Acinos alpinus subsp. alpinus","*","*","=",NA,NA,NA,NA,NA,NA
"Acinos arvensis (Lam.) Dandy","Acinos arvensis (Lam.) Dandy","*","V","<<",9,6,3,2,5,1
"Aconitum cammarum L.","Aconitum cammarum L.","kN","D","?",NA,NA,NA,NA,NA,NA
"Aconitum lycoctonum L.","Aconitum lycoctonum L.","*","*","<",4,5,NA,7,7,7
"Aconitum napellus L.","Aconitum napellus L.","*","*","<",NA,NA,NA,NA,NA,NA
"Aconitum napellus subsp. lusitanicum Rouy","Aconitum napellus subsp. lusitanicum Rouy","*","*","<",NA,NA,NA,NA,NA,NA
"Aconitum plicatum Rchb.","Aconitum plicatum Rchb.","R","R","=",6,3,NA,7,6,6
"Aconitum tauricum Wulfen","Aconitum tauricum Wulfen","R","R","=",NA,NA,NA,NA,NA,NA
"Aconitum tauricum subsp. tauricum","Aconitum tauricum subsp. tauricum","R","R","=",NA,NA,NA,NA,NA,NA
"Aconitum degenii Gáyer","Aconitum degenii Gáyer","*","*","=",NA,NA,NA,NA,NA,NA
"Aconitum pilipes (Rchb.) Gáyer","Aconitum pilipes (Rchb.) Gáyer","nb","*","=",NA,NA,NA,NA,NA,NA
"Aconitum variegatum L.","Aconitum variegatum L.","*","V","=",5,4,4,7,8,7
"Aconogonon polystachyum (Meisn.) Small","Aconogonon polystachyum (Meisn.) Small","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Acorus calamus L.","Acorus calamus L.","*","nb",NA,8,6,5,1,7,7
"Acroptilon repens (L.) DC.","Acroptilon repens (L.) DC.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Actaea spicata L.","Actaea spicata L.","*","*","=",3,5,4,5,6,7
"Adenophora liliifolia (L.) A. DC.","Adenophora liliifolia (L.) A.DC.","1","1","<",7,6,6,6,8,2
